2025-06-21 11:35:39,912 - INFO - Conectado a COM9 @ 115200 bps
2025-06-21 11:35:40,921 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xaa in position 0: invalid start byte
2025-06-21 11:35:45,077 - INFO - TX >> ?
2025-06-21 11:35:53,095 - INFO - TX >> H
2025-06-21 11:36:47,031 - INFO - TX >> M:30.00,30.00
2025-06-21 11:42:51,360 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,376 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,391 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,407 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,423 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,439 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,454 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,470 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,485 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,501 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,517 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,532 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,547 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,563 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,579 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,594 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,609 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,624 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,640 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,655 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,671 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,687 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,702 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,718 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,734 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,750 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,765 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,781 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,797 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,812 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,828 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,843 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,859 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,874 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,890 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,906 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,921 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,937 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 11:42:51,952 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
