2025-06-21 10:50:57,017 - INFO - Conectado a COM9 @ 115200 bps
2025-06-21 10:50:58,026 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xa2 in position 0: invalid start byte
2025-06-21 10:51:14,905 - INFO - TX >> M:20.00,20.00
2025-06-21 10:52:16,143 - INFO - TX >> M:20.00,20.00
2025-06-21 10:52:17,177 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xa5 in position 0: invalid start byte
2025-06-21 10:52:21,424 - INFO - TX >> H
2025-06-21 10:52:41,759 - INFO - TX >> ?
2025-06-21 10:53:20,488 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,504 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,520 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,536 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,552 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,567 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,583 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,598 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,614 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,630 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,645 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,661 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,676 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,692 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,707 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,723 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,739 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,754 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,769 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,784 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,801 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,816 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,830 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,846 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,861 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:20,876 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
